PLAYER_NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Amari Cooper,10.0,37.5,42.85714285714285,40.0,60.0,,,,,,,,,,,,
Jerry Jeudy,14.285714285714286,22.22222222222222,30.0,44.44444444444444,22.22222222222222,,,,,,,,,,,,
Darnell Mooney,14.285714285714286,50.0,40.0,60.0,66.66666666666667,,,,,,,,,,,,
Rashod Bateman,50.0,30.0,55.55555555555556,11.11111111111111,0.0,,,,,,,,,,,,
Dalton Schultz,100.0,30.0,44.44444444444444,0.0,20.0,,,,,,,,,,,,
Kyler Murray,0.0,33.333333333333336,50.0,0.0,12.5,,,,,,,,,,,,
Chris Godwin,42.85714285714285,10.0,10.0,55.55555555555556,40.0,,,,,,,,,,,,
Michael Thomas,100.0,50.0,10.0,40.0,0.0,,,,,,,,,,,,
Amon-Ra St. Brown,62.5,100.0,25.0,0.0,25.0,,,,,,,,,,,,
Jalen Hurts,0.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,
JuJu Smith-Schuster,33.333333333333336,85.71428571428571,66.66666666666667,30.0,66.66666666666667,,,,,,,,,,,,
Miles Sanders,20.0,22.22222222222222,20.0,28.571428571428573,20.0,,,,,,,,,,,,
Chase Edmonds,83.33333333333333,50.0,60.0,20.0,0.0,,,,,,,,,,,,
Clyde Edwards-Helaire,66.66666666666667,55.55555555555556,30.0,62.5,20.0,,,,,,,,,,,,
Kareem Hunt,30.0,55.55555555555556,33.333333333333336,25.0,50.0,,,,,,,,,,,,
Elijah Moore,30.0,0.0,50.0,20.0,20.0,,,,,,,,,,,,
T.J. Hockenson,50.0,57.142857142857146,44.44444444444444,22.22222222222222,66.66666666666667,,,,,,,,,,,,
Damien Harris,33.333333333333336,20.0,80.0,44.44444444444444,60.0,,,,,,,,,,,,
Adam Thielen,40.0,28.571428571428573,20.0,11.11111111111111,55.55555555555556,,,,,,,,,,,,
Joe Burrow,44.44444444444444,70.0,60.0,30.0,11.11111111111111,,,,,,,,,,,,
Tony Pollard,75.0,100.0,100.0,30.0,20.0,,,,,,,,,,,,
Gabriel Davis,62.5,0.0,42.85714285714285,70.0,62.5,,,,,,,,,,,,
Rashaad Penny,40.0,42.85714285714285,37.5,0.0,33.333333333333336,,,,,,,,,,,,
Devin Singletary,20.0,20.0,77.77777777777777,33.333333333333336,85.71428571428571,,,,,,,,,,,,
Tom Brady,66.66666666666667,44.44444444444444,40.0,66.66666666666667,20.0,,,,,,,,,,,,
Cordarrelle Patterson,42.85714285714285,22.22222222222222,42.85714285714285,30.0,10.0,,,,,,,,,,,,
Dak Prescott,11.11111111111111,40.0,40.0,20.0,0.0,,,,,,,,,,,,
Russell Wilson,50.0,22.22222222222222,70.0,10.0,25.0,,,,,,,,,,,,
Dallas Goedert,44.44444444444444,55.55555555555556,11.11111111111111,0.0,33.333333333333336,,,,,,,,,,,,
Melvin Gordon,60.0,55.55555555555556,71.42857142857143,20.0,66.66666666666667,,,,,,,,,,,,
DeVonta Smith,55.55555555555556,0.0,85.71428571428571,60.0,42.857142857142854,,,,,,,,,,,,
Hunter Renfrow,0.0,10.0,30.0,10.0,11.11111111111111,,,,,,,,,,,,
Rhamondre Stevenson,40.0,80.0,0.0,37.5,0.0,,,,,,,,,,,,
Drake London,33.333333333333336,40.0,50.0,30.0,50.0,,,,,,,,,,,,
Brandon Aiyuk,60.0,80.0,20.0,30.0,70.0,,,,,,,,,,,,
Tyler Lockett,57.142857142857146,30.0,30.0,60.0,80.0,,,,,,,,,,,,
Zach Ertz,44.44444444444444,80.0,37.5,75.0,50.0,,,,,,,,,,,,
Ken Walker,10.0,0.0,50.0,14.285714285714286,22.22222222222222,,,,,,,,,,,,
Christian Kirk,70.0,71.42857142857143,40.0,25.0,12.5,,,,,,,,,,,,
Matthew Stafford,0.0,40.0,75.0,57.142857142857146,66.66666666666667,,,,,,,,,,,,
Trey Lance,40.0,10.0,40.0,10.0,30.0,,,,,,,,,,,,
Allen Lazard,0.0,40.0,70.0,37.5,20.0,,,,,,,,,,,,
Aaron Rodgers,28.571428571428573,37.5,11.11111111111111,30.0,30.0,,,,,,,,,,,,
