PLAYER_NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Jonathan Taylor,33.333333333333336,25.0,22.22222222222222,11.11111111111111,20.0,20.0,0.0,20.0,14.285714285714286,50.0,33.333333333333336,33.333333333333336,0.0,10.0,55.55555555555556,40.0,22.22222222222222,70.0
Christian McCaffrey,42.85714285714285,20.0,100.0,0.0,50.0,0.0,60.0,0.0,25.0,66.66666666666667,12.5,30.0,40.0,20.0,20.0,44.44444444444444,20.0,28.571428571428573
Austin Ekeler,12.5,44.44444444444444,0.0,40.0,66.66666666666667,0.0,50.0,20.0,25.0,62.5,33.333333333333336,16.666666666666668,20.0,12.5,22.22222222222222,55.55555555555556,66.66666666666667,50.0
Dalvin Cook,22.22222222222222,33.333333333333336,50.0,10.0,11.11111111111111,40.0,62.5,60.0,33.333333333333336,33.333333333333336,16.666666666666668,20.0,40.0,33.333333333333336,100.0,57.142857142857146,16.666666666666668,40.0
Najee Harris,44.44444444444444,12.5,33.333333333333336,20.0,0.0,33.333333333333336,25.0,11.11111111111111,50.0,0.0,0.0,11.11111111111111,0.0,28.571428571428573,30.0,10.0,62.5,30.0
Cooper Kupp,42.85714285714285,0.0,40.0,0.0,50.0,25.0,60.0,66.66666666666667,50.0,28.571428571428573,0.0,30.0,20.0,0.0,22.22222222222222,30.0,100.0,33.333333333333336
Justin Jefferson,16.666666666666668,25.0,42.85714285714285,77.77777777777777,50.0,11.11111111111111,60.0,20.0,33.333333333333336,50.0,22.22222222222222,25.0,22.22222222222222,25.0,40.0,50.0,10.0,50.0
Derrick Henry,40.0,28.571428571428573,60.0,33.333333333333336,60.0,44.44444444444444,62.5,11.11111111111111,44.44444444444444,12.5,33.333333333333336,14.285714285714286,30.0,60.0,28.571428571428573,50.0,10.0,50.0
Travis Kelce,57.142857142857146,30.0,22.22222222222222,50.0,11.11111111111111,55.55555555555556,50.0,40.0,30.0,33.333333333333336,33.333333333333336,20.0,25.0,30.0,0.0,40.0,66.66666666666667,0.0
D'Andre Swift,66.66666666666667,100.0,85.71428571428571,44.44444444444444,0.0,0.0,20.0,85.71428571428571,25.0,33.333333333333336,20.0,100.0,83.33333333333333,66.66666666666667,88.88888888888889,70.0,77.77777777777777,25.0
Joe Mixon,50.0,33.333333333333336,11.11111111111111,37.5,20.0,50.0,40.0,62.5,0.0,25.0,40.0,10.0,10.0,10.0,37.5,10.0,60.0,55.55555555555556
Ja'Marr Chase,66.66666666666667,30.0,33.333333333333336,50.0,20.0,11.11111111111111,55.55555555555556,20.0,30.0,10.0,28.571428571428573,10.0,40.0,37.5,0.0,42.85714285714285,100.0,80.0
Stefon Diggs,66.66666666666667,50.0,12.5,25.0,42.85714285714285,25.0,40.0,70.0,40.0,44.44444444444444,16.666666666666668,25.0,10.0,50.0,50.0,42.85714285714285,71.42857142857143,60.0
Davante Adams,85.71428571428571,33.333333333333336,0.0,66.66666666666667,44.44444444444444,22.22222222222222,44.44444444444444,30.0,20.0,37.5,42.85714285714285,0.0,30.0,50.0,50.0,0.0,40.0,33.333333333333336
Aaron Jones,60.0,50.0,44.44444444444444,10.0,37.5,0.0,33.333333333333336,11.11111111111111,25.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,20.0,80.0
CeeDee Lamb,100.0,30.0,20.0,12.5,30.0,28.571428571428573,0.0,50.0,33.333333333333336,62.5,40.0,37.5,40.0,20.0,50.0,40.0,77.77777777777777,66.66666666666667
Saquon Barkley,25.0,33.333333333333336,60.0,33.333333333333336,66.66666666666667,0.0,37.5,57.142857142857146,33.333333333333336,33.333333333333336,66.66666666666667,0.0,85.71428571428571,33.333333333333336,66.66666666666667,100.0,40.0,50.0
Leonard Fournette,60.0,16.666666666666668,20.0,50.0,33.333333333333336,33.333333333333336,60.0,80.0,0.0,14.285714285714286,0.0,0.0,20.0,10.0,50.0,22.22222222222222,60.0,50.0
Mark Andrews,30.0,12.5,55.55555555555556,25.0,60.0,22.22222222222222,10.0,33.333333333333336,10.0,20.0,20.0,0.0,0.0,42.85714285714285,25.0,25.0,55.55555555555556,25.0
Alvin Kamara,30.0,22.22222222222222,33.333333333333336,10.0,33.333333333333336,20.0,0.0,22.22222222222222,42.85714285714285,28.571428571428573,25.0,16.666666666666668,20.0,40.0,50.0,50.0,66.66666666666667,30.0
Mike Evans,37.5,0.0,40.0,70.0,33.333333333333336,12.5,10.0,25.0,33.333333333333336,37.5,20.0,20.0,25.0,10.0,20.0,50.0,40.0,50.0
Tyreek Hill,37.5,0.0,37.5,50.0,57.142857142857146,44.44444444444444,60.0,30.0,50.0,50.0,33.333333333333336,30.0,14.285714285714286,30.0,57.142857142857146,44.44444444444444,60.0,50.0
Keenan Allen,30.0,11.11111111111111,10.0,20.0,10.0,0.0,0.0,0.0,20.0,0.0,80.0,40.0,80.0,37.5,50.0,66.66666666666667,70.0,70.0
Javonte Williams,42.85714285714285,30.0,44.44444444444444,11.11111111111111,0.0,44.44444444444444,50.0,33.333333333333336,30.0,11.11111111111111,50.0,44.44444444444444,33.333333333333336,0.0,60.0,50.0,57.142857142857146,80.0
Deebo Samuel,14.285714285714286,40.0,57.142857142857146,55.55555555555556,25.0,11.11111111111111,10.0,30.0,0.0,20.0,30.0,20.0,12.5,12.5,0.0,10.0,0.0,0.0
Nick Chubb,50.0,25.0,55.55555555555556,40.0,60.0,60.0,28.571428571428573,50.0,22.22222222222222,75.0,66.66666666666667,75.0,75.0,40.0,20.0,0.0,33.333333333333336,71.42857142857143
